Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
-0.3322227769144536,0.39750346456326807,0.19845516757699214,-0.004329100157804543,-0.38992177772049624,1.4147311298001333
1.3338894443215221,1.797392406137144,1.209468451660267,-0.6569572646509162,0.4828330496792433,-0.10920494489934053
1.3338894443215221,-0.8523973761276875,-1.4191660869562706,-0.29996408065468416,0.20194643856208588,0.1421659540201603
-0.3322227769144536,1.6474043052542235,0.8724640236325086,0.2968838988390162,-0.6306817301066312,-1.4760342077741262
-0.3322227769144536,1.1974400026054626,0.2658560531825208,1.8196829493229434,-1.6137848690166836,0.3306941282097859
-1.9983349981504293,0.2475153636803477,-0.07114837484523745,-0.7908297086495032,0.5931813611895553,1.603259303989759
-1.9983349981504293,-1.1523735778935282,-0.20595014605633308,-0.5509749131520348,1.1148279246928485,1.3047563615228517
-0.3322227769144536,1.847388439764765,1.8160764221102164,-1.1366668556458528,1.1148279246928485,0.8334359260487876
1.3338894443215221,-0.002464804457843392,-0.27335103166186175,0.44191237983748544,-0.37989011303774045,-0.863317641657843
1.3338894443215221,-1.3023616787764485,-1.149562544534041,-0.021063155657627917,-0.5403967479618307,-0.8947390040227806
-1.9983349981504293,-0.15245290534076375,-0.5429545740840913,-0.4617266171529768,0.06150313300350718,1.1633602308806323
-0.3322227769144536,0.14752329642507697,1.1420675660547,0.9383560263322456,-0.640713394789387,0.7863038825013812
1.3338894443215221,1.797392406137144,2.018279078926879,-0.7964077271494443,-0.17925681938262783,0.1421659540201603
-0.3322227769144536,1.1974400026054626,1.1420675660547,-0.2441838956552729,-0.31970012494120725,1.6818127099021027
-0.3322227769144536,0.997455868094921,0.670261366815846,-0.6625352831508573,0.5931813611895553,0.5663543459468179
-0.3322227769144536,0.2975113973079973,0.602860481210279,-0.37805633965385993,-0.20935181343089515,-0.34486516263637257
-0.3322227769144536,-1.1023775442658785,-0.20595014605633308,-1.1031987446462062,0.9242262957204916,1.5718379416248212
-0.3322227769144536,-0.8523973761276875,-1.149562544534041,-0.4840386911527413,0.5530547024585329,-0.706210829833155
-0.3322227769144536,0.2975113973079973,0.2658560531825208,0.0960752328411357,-0.22941514279640599,0.2207193599325043
-0.3322227769144536,-0.20244893896838492,0.5354595956047504,-0.7740956531496798,0.08156646236901802,0.1578766352026291
1.3338894443215221,-0.6024172079894964,-0.47555368847852436,0.44191237983748544,-0.49023842454805255,1.0219641002384132
-0.3322227769144536,-0.40243307347895485,-1.0147607733229451,-0.5398188761521525,0.6533713492860893,-1.5231662513215327
-0.3322227769144536,1.5474122379989528,0.8050631380269416,-0.5788650056517404,0.011344809589729025,1.744655434631978
-0.3322227769144536,-0.5524211743618752,-0.27335103166186175,0.28014984333919285,-0.5805234066928531,1.3990204486176645
-0.3322227769144536,1.847388439764765,1.8160764221102164,-0.8019857456493854,1.3957145358100058,0.2364300411149731
-1.9983349981504293,-0.7524053088724167,-0.8799590021118496,-0.49519472815262355,0.3925480675344427,-1.256084671219563
-0.3322227769144536,-1.1523735778935282,-1.6887696293784618,-0.8912340416484434,0.3323580794379088,0.04790186692534748
-1.9983349981504293,-0.452429107106576,0.2658560531825208,-0.9470142266478546,1.4559045239065398,-0.062072901351934134
-0.3322227769144536,0.8474677672120007,0.4680587099991834,1.2507250623289485,-1.4131515753615709,-1.648851700781283
-0.3322227769144536,-1.252365645148799,-0.7451572309007539,-0.5342408576522114,0.3524214088034203,-1.6959837443286896
-0.3322227769144536,-1.1023775442658785,-1.0821616589285121,-0.11588947015662704,-0.7510617062996991,1.2890456803403827
-0.3322227769144536,-0.10245687171311416,-0.27335103166186175,-0.5119287836524469,0.312294750072398,-1.507455570139064
-0.3322227769144536,1.4974162043713033,0.8050631380269416,-0.15493559965621492,0.5731180318240445,1.19478159324557
1.3338894443215221,1.8973844733924148,1.8160764221102164,0.09049721434119458,-0.6607767241548985,0.3149834470273171
-0.3322227769144536,-0.7024092752447672,-0.3407519172674287,-1.192447040645264,1.2251762362031606,0.2992727658448483
-0.3322227769144536,0.7974717335843795,0.5354595956047504,0.14069938084066472,-0.5905550713756088,0.6606184330416307
1.3338894443215221,1.2474360362331123,1.2768693372657955,-1.3430535401436745,1.7568544643892088,-0.8004749169279678
1.3338894443215221,-1.0023854770106078,-1.216963430139608,-0.4059464321535655,0.2621364266586198,-1.6645623819637518
-0.3322227769144536,1.1474439689778415,0.9398649092380373,-0.021063155657627917,0.18188310919657433,-0.48626129327859174
1.3338894443215221,0.7974717335843795,0.33325693878808776,-0.696003394150504,0.9342579604032467,-0.03065153898699653
1.3338894443215221,1.1474439689778415,1.1420675660547,0.0068269368420777075,-1.112201634878902,0.6449077518591619
1.3338894443215221,-0.6024172079894964,-0.5429545740840913,-0.4840386911527413,0.8640363076239577,-0.15633698844674693
-0.3322227769144536,-0.7024092752447672,-0.27335103166186175,-1.0362625226469127,2.2584376985269903,-1.5545876136864702
-0.3322227769144536,-0.9523894433829583,-0.8799590021118496,0.1630114548404292,-0.7109350475686768,-1.5388769325040015
-0.3322227769144536,-0.7524053088724167,-0.3407519172674287,-0.3278541731543898,-0.1892884840653836,0.8177252448663187
-0.3322227769144536,-0.6024172079894964,-0.61035545968962,-1.052996578146736,1.255271230251427,0.04790186692534748
-0.3322227769144536,1.797392406137144,1.4790719940824582,0.8769978228328932,-0.9316316705893005,-1.6174303384163455
